Date;id
01-01-1901;1
02-01-1901;2
03-01-1901;3
04-01-1901;4
05-01-1901;5
06-01-1901;6
07-01-1901;7
08-01-1901;8
09-01-1901;9
10-01-1901;10
11-01-1901;11
12-01-1901;12
13-01-1901;13
14-01-1901;14
15-01-1901;15
16-01-1901;16
17-01-1901;17
18-01-1901;18
19-01-1901;19
20-01-1901;20
21-01-1901;21
22-01-1901;22
23-01-1901;23
24-01-1901;24
25-01-1901;25
26-01-1901;26
27-01-1901;27
28-01-1901;28
29-01-1901;29
30-01-1901;30
31-01-1901;31
01-02-1901;32
02-02-1901;33
03-02-1901;34
04-02-1901;35
05-02-1901;36
06-02-1901;37
07-02-1901;38
08-02-1901;39
09-02-1901;40
10-02-1901;41
11-02-1901;42
12-02-1901;43
13-02-1901;44
14-02-1901;45
15-02-1901;46
16-02-1901;47
17-02-1901;48
18-02-1901;49
19-02-1901;50
20-02-1901;51
21-02-1901;52
22-02-1901;53
23-02-1901;54
24-02-1901;55
25-02-1901;56
26-02-1901;57
27-02-1901;58
28-02-1901;59
01-03-1901;60
02-03-1901;61
03-03-1901;62
04-03-1901;63
05-03-1901;64
06-03-1901;65
07-03-1901;66
08-03-1901;67
09-03-1901;68
10-03-1901;69
11-03-1901;70
12-03-1901;71
13-03-1901;72
14-03-1901;73
15-03-1901;74
16-03-1901;75
17-03-1901;76
18-03-1901;77
19-03-1901;78
20-03-1901;79
21-03-1901;80
22-03-1901;81
23-03-1901;82
24-03-1901;83
25-03-1901;84
26-03-1901;85
27-03-1901;86
28-03-1901;87
29-03-1901;88
30-03-1901;89
31-03-1901;90
01-04-1901;91
02-04-1901;92
03-04-1901;93
04-04-1901;94
05-04-1901;95
06-04-1901;96
07-04-1901;97
08-04-1901;98
09-04-1901;99
10-04-1901;100
11-04-1901;101
12-04-1901;102
13-04-1901;103
14-04-1901;104
15-04-1901;105
16-04-1901;106
17-04-1901;107
18-04-1901;108
19-04-1901;109
20-04-1901;110
21-04-1901;111
22-04-1901;112
23-04-1901;113
24-04-1901;114
25-04-1901;115
26-04-1901;116
27-04-1901;117
28-04-1901;118
29-04-1901;119
30-04-1901;120
01-05-1901;121
02-05-1901;122
03-05-1901;123
04-05-1901;124
05-05-1901;125
06-05-1901;126
07-05-1901;127
08-05-1901;128
09-05-1901;129
10-05-1901;130
11-05-1901;131
12-05-1901;132
13-05-1901;133
14-05-1901;134
15-05-1901;135
16-05-1901;136
17-05-1901;137
18-05-1901;138
19-05-1901;139
20-05-1901;140
21-05-1901;141
22-05-1901;142
23-05-1901;143
24-05-1901;144
25-05-1901;145
26-05-1901;146
27-05-1901;147
28-05-1901;148
29-05-1901;149
30-05-1901;150
31-05-1901;151
01-06-1901;152
02-06-1901;153
03-06-1901;154
04-06-1901;155
05-06-1901;156
06-06-1901;157
07-06-1901;158
08-06-1901;159
09-06-1901;160
10-06-1901;161
11-06-1901;162
12-06-1901;163
13-06-1901;164
14-06-1901;165
15-06-1901;166
16-06-1901;167
17-06-1901;168
18-06-1901;169
19-06-1901;170
20-06-1901;171
21-06-1901;172
22-06-1901;173
23-06-1901;174
24-06-1901;175
25-06-1901;176
26-06-1901;177
27-06-1901;178
28-06-1901;179
29-06-1901;180
30-06-1901;181
01-07-1901;182
